Ethnic Group,Park Hill & Whitgift,Heathrow Villages,Bloomsbury,Worcester Park South,St James's (Westminster),West End (Westminster),Stratford Olympic Park,Motspur Park & Old Malden East,Tudor (Kingston upon Thames),Cranham
Total: All usual residents,5792,14039,11094,7072,10369,11547,11857,6990,6947,12986
"Asian, Asian British or Asian Welsh",2161,6055,2975,1008,2112,2114,3179,1902,1104,642
"Asian, Asian British or Asian Welsh: Afghan",26,210,9,0,13,16,33,29,2,6
"Asian, Asian British or Asian Welsh: African unspecified",5,16,0,0,3,0,3,0,0,0
"Asian, Asian British or Asian Welsh: African Asian",2,4,0,1,4,0,1,3,1,3
"Asian, Asian British or Asian Welsh: Anglo Indian",2,5,3,1,0,0,0,4,0,1
"Asian, Asian British or Asian Welsh: Arab",0,5,0,0,2,3,0,0,0,1
"Asian, Asian British or Asian Welsh: Asian British",6,22,2,2,0,4,0,7,1,3
"Asian, Asian British or Asian Welsh: Bangladeshi, British Bangladeshi",47,140,640,40,180,271,558,39,45,51
"Asian, Asian British or Asian Welsh: Black and Asian",0,2,1,0,0,0,1,1,0,1
"Asian, Asian British or Asian Welsh: Chinese",84,90,1049,122,900,484,1039,143,308,100
"Asian, Asian British or Asian Welsh: English/Welsh/Scottish/Northern Irish/British",0,5,2,0,0,0,1,0,0,0
"Asian, Asian British or Asian Welsh: Filipino",14,164,192,17,99,171,51,37,33,19
"Asian, Asian British or Asian Welsh: Indian or British Indian",1495,3833,602,370,373,753,703,444,401,286
"Asian, Asian British or Asian Welsh: Indonesian",1,3,15,1,9,8,8,0,1,0
"Asian, Asian British or Asian Welsh: Iranian",22,9,16,6,11,23,3,15,31,4
"Asian, Asian British or Asian Welsh: Japanese",7,3,41,3,159,81,18,11,20,3
"Asian, Asian British or Asian Welsh: Kashmiri",0,1,0,3,2,0,2,0,0,0
"Asian, Asian British or Asian Welsh: Korean",4,2,60,92,51,30,61,337,33,5
"Asian, Asian British or Asian Welsh: Kurdish",3,1,0,0,0,0,0,0,0,0
"Asian, Asian British or Asian Welsh: Malaysian",2,6,23,1,17,35,23,3,6,0
"Asian, Asian British or Asian Welsh: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian",6,7,2,8,1,3,11,10,4,2
"Asian, Asian British or Asian Welsh: Mixed South Asian",5,5,1,3,2,0,2,3,6,1
"Asian, Asian British or Asian Welsh: Myanmar or Burmese",10,7,3,0,3,6,10,0,0,1
"Asian, Asian British or Asian Welsh: Nepali (includes Gurkha)",0,212,20,5,18,13,4,6,0,0
"Asian, Asian British or Asian Welsh: Other Asian, Asian unspecified",4,33,9,5,9,22,16,17,7,4
"Asian, Asian British or Asian Welsh: Other East Asian/ East Asian unspecified",1,4,15,0,21,15,20,3,0,2
"Asian, Asian British or Asian Welsh: Other Middle East",3,3,0,0,5,7,1,15,0,0
"Asian, Asian British or Asian Welsh: Other Mixed",2,0,19,0,9,2,6,4,11,1
"Asian, Asian British or Asian Welsh: Pakistani or British Pakistani",239,955,111,108,116,81,462,381,74,96
"Asian, Asian British or Asian Welsh: Punjabi",0,9,1,0,2,0,1,0,0,5
"Asian, Asian British or Asian Welsh: Sikh",0,76,1,3,0,0,3,6,1,4
"Asian, Asian British or Asian Welsh: Sinhalese",0,3,3,4,0,0,3,3,1,0
"Asian, Asian British or Asian Welsh: Sri Lankan",102,152,35,123,21,24,44,224,63,20
"Asian, Asian British or Asian Welsh: Taiwanese",0,0,15,1,8,5,15,0,5,1
